Título, Autor, Ano de Publicação, Número de Páginas 
A Torre Negra: O Pistoleiro, Stephen King, 1982, 262  
O Iluminado, Stephen King, 1977, 464 
A Árvore que Dava Dinheiro, Domingos Pellegrini, 1981, 128 
Eragon, Christopher Paolini, 2002, 468 
Jogos Vorazes, Suzanne Collins, 2008, 400 
Harry Potter e a Pedra Filosofal, J. K. Rowling, 1997, 264 
Como viver para sempre, Colin Thompson, 1995, 240 
Portugal e Espanha, Geraldo Rodrigues da Costa, 2016, 188 
O Cavaleiro Andante, George R. R. Martin, 1998, 400 
O Poço e o Pêndulo, Edgar Allan Poe, 1842, 72 
O Código Da Vinci, Dan Brown, 2003, 432 
